"SPECIESID","SPECIES","CREATED_AT","UPDATED_AT"
252,puteus,2021-11-19 12:11:05.011 +0100,
257,rhyncotis,2021-11-19 12:11:05.011 +0100,
260,ronaldi,2021-11-19 12:11:05.011 +0100,
265,rufogriseus,2021-11-19 12:11:05.011 +0100,
269,sanguinia,2021-11-19 12:11:05.011 +0100,
273,semipalmata,2021-11-19 12:11:05.011 +0100,
278,siva,2021-11-19 12:11:05.011 +0100,
281,Species nov.,2021-11-19 12:11:05.011 +0100,
286,sudelli,2021-11-19 12:11:05.011 +0100,
290,tahitica,2021-11-19 12:11:05.011 +0100,
294,tenebrosa,2021-11-19 12:11:05.011 +0100,
299,timoriensis,2021-11-19 12:11:05.011 +0100,
303,trivirgata,2021-11-19 12:11:05.011 +0100,
307,unguifera,2021-11-19 12:11:05.011 +0100,
312,velox,2021-11-19 12:11:05.011 +0100,
315,versicolor,2021-11-19 12:11:05.011 +0100,
320,volans,2021-11-19 12:11:05.011 +0100,
324,whitii,2021-11-19 12:11:05.011 +0100,
