UNITID,SITEID,UNITNAME,UNITHANDLE,UNITTYPEID,COLLECTID,DEPOSITID,COLLDATE,WATERDEPTH,NEO_HANDLE,UNIT_COMMT,CREATED_AT,UPDATED_AT,COLL_SPEC
332,PAL00347,Mt Hauhungatahi Site 1170_core1,HAUHUN1170,5,20,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
333,PAL00348,Mt Hauhungatahi Site 1380_core1,HAUHUN1380,5,20,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
334,PAL00349,Mudstone Bay Swamp_core1,MUDSTONE,5,20,84,01.12.75,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
335,PAL00350,Muellers Rock_core1,MUELLERS,5,-9999,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
336,PAL00351,Mulloon_core1,MULLOON,5,-9999,-9999,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
337,PAL00352,MD03-2067,MD03,5,19,9,21.02.03,865,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
338,PAL00144,Native Companion Lagoon NCL1,NATCOMLAG,5,14,111,01.08.04,0,NATCOMLAG,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
339,PAL00353,Near Lagoon_core1,NEARLGN,5,7,111,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
340,PAL00354,Neon ANB2,ANB2,5,-9999,84,1979,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
341,PAL00489,New Cave NC,NEWCAVE,5,7,110,,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
342,PAL00355,Newall Creek_core1,NEWALL,5,-9999,7,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
343,PAL00356,Newnes Swamp_core1,NEWNES,5,20,-9999,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
344,PAL00357,Nokomai Islands I X88/1,NOKOMAI1,6,5,111,,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
345,PAL00358,Nokomai Islands II X88/3,NOKOMAI2,5,14,116,,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
346,PAL00359,Noreikora Swamp core NORI/A/18,NORIA18,5,14,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
347,PAL00360,North Torbreck_core1,NTORB,5,-9999,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
348,PAL00361,NEI12,NEI12,5,20,84,12.03.12,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
349,PAL00362,Northern Awana_core1,AWANA,6,5,28,,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
350,PAL00118,Northwest Crater Tower Hill_core1,NWTH1985,5,14,111,01.03.85,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
351,PAL00118,Northwest Crater Tower Hill 2008 core,NWTH2008,5,19,111,2008,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
352,PAL00363,Notts Swamp_core1,NOTTSSWP,5,20,-9999,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
353,PAL00364,Nurenk Swamp_core1,NURENK,5,-9999,84,,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
354,PAL00365,Nursery Swamp_core1,NURSERY,5,-9999,-9999,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
355,PAL00366,Oaks Creek D-section Missen composite,OAKSCK,5,7,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
356,PAL00103,ODP 820,ODP820,5,19,9,12.09.90,278,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
357,PAL00367,Ohinewai peatland core 9,OHINEWAI,5,-9999,116,,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
358,PAL00368,OKA1 OKA913 composite,OKARITO,5,14,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
359,PAL00090,Lake Coomboo_core1,OLDC1985,5,41,111,1985,-9999.99,OLDC1985,"Depositional environment identified as a ""perched dune lake"" in Longmore (1997)",2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,Gemco hydraulic drill rig
360,PAL00369,Ongarue Mire_core1,ONGARUE,5,-9999,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
361,PAL00370,Otakairangi Swamp Pollen Core Q06ff59(2A),OTAIKAIR,5,-9999,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
362,PAL00371,TAS1501,TAS1501,5,19,111,01.01.15,7,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
363,PAL00372,Oxford Falls Swamp cores OF1 OF2,OXFORD,5,20,84,16.09.09,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
364,PAL00126,TAS1401 SC1 N1 composite,PADDYS,5,19,111,12.11.14,20.78,PADDYS,Total core length of 291 cm was merged from two cores (TAS1401 SC1 and TAS1401 N1) retrieved with a Bolivia coring system (a modified Livingstone system) and a Nesje coring system.,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,Bolivia and Nesje
365,PAL00373,Papamoa Bog core Kt16-b,PAPAMOA,5,14,84,02.07.91,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
366,PAL00374,Paranoa Swamp_core1,PARANOA,5,20,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
367,PAL00375,Penrith Lakes Trench,PENTRENCH,6,5,111,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
368,PAL00375,Penrith Lakes Hand core,PENHAND,5,14,111,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
369,PAL00375,Penrith Lakes Drill core,PENDRILL,5,19,111,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
370,PAL00376,Piano Point Lagoon_core1,PIANOLGN,5,-9999,111,01.12.19,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
371,PAL00377,Pine Camp_core1,PINECAMP,5,20,111,,0.2,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
372,PAL00378,Pleasant River_core1,PLEASRVR,5,-9999,-9999,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
373,PAL00379,Poets Hill Core 1,POETSHILL,5,19,111,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
374,PAL00380,Poley Creek_core1,POLEYCK,5,-9999,-9999,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
375,PAL00381,Police Station Swamp_core1,POLICESWP,5,21,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
376,PAL00382,Pomahaka Bog 2001 core,POMABOG,5,-9999,84,2001,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
377,PAL00383,Pomahaka Rd_core1,POMAHRD,5,-9999,-9999,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
378,PAL00384,Ponaki Swamp Core A,PONAKISWP,5,-9999,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
