UNITID,SITEID,UNITNAME,UNITHANDLE,UNITTYPEID,COLLECTID,DEPOSITID,COLLDATE,WATERDEPTH,NEO_HANDLE,UNIT_COMMT,CREATED_AT,UPDATED_AT,COLL_SPEC,UNIT_DESCR
307,PAL00031,Loch Sport Swamp_core1,,5,20,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
308,PAL00330,Long Swamp Core A,,5,-9999,-9999,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
309,PAL00072,Lynchs Crater 2007 composite,LYNCHA,5,-9999,111,,-9999.99,LYNCHA,Alternative NEO_HANDLE 'LYNCHA74'. The top 17 m were collected with a modified Vallentyne piston sampler but increasing dryness and compaction of the sediment with depth prevented further penetration. A much stronger sampler with the piston attached to a central rod within a tubular casing operated with the aid of chain hoists attached to a drilling rig was constructed to allow coring to 20 m.,2023-11-29 05:46:42.988 +1100,,Vallentyne piston sampler,
310,PAL00073,Lynchs Crater Holocene Core 2,,5,20,111,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
311,PAL00117,Main Lake Tower Hill_core2,,5,19,111,01.01.10,0.1,,,2023-11-29 05:46:42.988 +1100,,,
312,PAL00117,Main Lake Tower Hill_core1,,5,19,111,01.01.84,0.36,,,2023-11-29 05:46:42.988 +1100,,,
313,PAL00332,Maori Lakes East Centre_core1,,5,7,111,,1.6,,,2023-11-29 05:46:42.988 +1100,,,
314,PAL00333,Maori Lakes East Edge_core1,,5,14,111,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
315,PAL00101,MARR02,,5,14,111,01.06.10,0.5,,,2023-11-29 05:46:42.988 +1100,,,
316,PAL00102,MARR04,,5,14,111,01.06.12,0.5,,,2023-11-29 05:46:42.988 +1100,,,
317,PAL00334,Marton Swamp_core1,,5,-9999,84,,2,,,2023-11-29 05:46:42.988 +1100,,,
318,PAL00074,Mar 02,,5,41,111,01.09.15,11,,,2023-11-29 05:46:42.988 +1100,,,
319,PAL00335,McKenzie Road Bog_core1,,5,-9999,84,,0.5,,,2023-11-29 05:46:42.988 +1100,,,
320,PAL00008,Micalong Swamp Core MS3,MICALONG,5,-9999,-9999,01.01.93,-9999.99,MICALONG,COREDATE source is IPPD,2023-11-29 05:46:42.988 +1100,,,
321,PAL00336,MPL12,,5,20,84,10.03.12,0,,,2023-11-29 05:46:42.988 +1100,,,
322,PAL00337,Middle Patriarch Swamp_core1,,5,-9999,84,,0,,,2023-11-29 05:46:42.988 +1100,,,
323,PAL00338,Mill Bay_core1,,5,20,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
324,PAL00339,"Mill Creek cores 1, 2, 4 composite",,5,-9999,-9999,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
