"SMPAGEID","SAMPLEID","CHRONLGYID","AGE","AGEYOUNGER","AGEOLDER","CREATED_AT","UPDATED_AT"
3819,3679,85,1560,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3820,3681,84,1519,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3821,3681,85,1610,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3822,3683,84,1558,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3823,3683,85,1650,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3824,3685,84,1595,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3825,3685,85,1689,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3826,3687,84,1633,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3827,3687,85,1729,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3828,3689,84,1679,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3829,3689,85,1778,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3830,3691,84,1723,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3831,3691,85,1824,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3832,3693,84,1761,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3833,3693,85,1864,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3834,3695,84,1803,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3835,3695,85,1908,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3836,3697,84,1841,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3837,3697,85,1948,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3838,3699,84,1879,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3839,3699,85,1988,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3840,3701,84,1922,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3841,3701,85,2033,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3842,3703,84,1953,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3843,3703,85,2066,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3844,3705,84,1999,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3845,3705,85,2114,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3846,3707,84,2041,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
