CALPROGID,CALPROGRAM,CALPROGVER,CALPROGREF,PARENTID,CALPRODATE,CALPRONOTE,CREATED_AT,UPDATED_AT
156,OxCal,4.2.1,,118,,requires Firefox v16,2023-06-16 09:56:22.112 +0200,
157,OxCal,4.2.2,,118,,requires Firefox v16,2023-06-16 09:56:22.112 +0200,
158,OxCal,4.2.3F16,,118,,requires Firefox v16,2023-06-16 09:56:22.112 +0200,
159,OxCal,4.2.4,,118,,requires Firefox v56 and addon (included),2023-06-16 09:56:22.112 +0200,
160,OxCal,4.3.1,,118,,requires Firefox v56 and addon (included),2023-06-16 09:56:22.112 +0200,
161,OxCal,4.3.2,,118,,,2023-06-16 09:56:22.112 +0200,
162,OxCal,4.3.2F56,,118,,requires Firefox v56 and addon (included),2023-06-16 09:56:22.112 +0200,
163,OxCal,4.4,,118,,,2023-06-16 09:56:22.112 +0200,
164,OxCal,4.4.1,,118,,requires NodeJS,2023-06-16 09:56:22.112 +0200,
165,OxCal,4.4.2,,118,,requires NodeJS,2023-06-16 09:56:22.112 +0200,
166,OxCal,4.4.3,,118,,requires NodeJS,2023-06-16 09:56:22.112 +0200,
167,OxCal,4.4.4,,118,,requires NodeJS,2023-06-16 09:56:22.112 +0200,
168,Bpeat,,Blaauw:2005peat,7,,,2023-06-16 09:56:22.112 +0200,
169,Bchron,,Haslett:2008bchron,6,,,2023-06-16 09:56:22.112 +0200,
170,clam (non-specific),,Blaauw:2010clam,7,,For version history details see https://chrono.qub.ac.uk/blaauw/clam.html#versions,2023-06-16 09:56:22.112 +0200,
171,clam,2.0,,170,,,2023-06-16 09:56:22.112 +0200,
172,clam,2.1,,170,,,2023-06-16 09:56:22.112 +0200,
173,clam,2.2,,170,,,2023-06-16 09:56:22.112 +0200,
174,clam,2.3.1,,170,,,2023-06-16 09:56:22.112 +0200,
175,clam,2.3.2,,170,,,2023-06-16 09:56:22.112 +0200,
176,Bacon (non-specific),,Blaauw:2011bacon,6,,For version history details see https://chrono.qub.ac.uk/blaauw/manualBacon_2.3.pdf,2023-06-16 09:56:22.112 +0200,
177,Bacon,2.2,,176,,,2023-06-16 09:56:22.112 +0200,
178,Bacon,rbacon 2.3.1.1,,176,,,2023-06-16 09:56:22.112 +0200,
179,Bacon,rbacon 2.3.2,,176,,,2023-06-16 09:56:22.112 +0200,
180,Bacon,rbacon 2.3.3,,176,,,2023-06-16 09:56:22.112 +0200,
181,Bacon,rbacon 2.3.4,,176,,,2023-06-16 09:56:22.112 +0200,
182,Bacon,rbacon 2.3.5,,176,,,2023-06-16 09:56:22.112 +0200,
183,Bacon,rbacon 2.3.6,,176,,,2023-06-16 09:56:22.112 +0200,
184,Bacon,rbacon 2.3.7,,176,,,2023-06-16 09:56:22.112 +0200,
