"ELEMTYPEID","ELEMENTYPE","DATASRCID","CREATED_AT","UPDATED_AT"
101,"tooth, first incisor",10,"2024-04-12 14:01:54.970 +0200",NA
102,"tooth, first molar",10,"2024-04-12 14:01:54.970 +0200",NA
103,"tooth, first premolar",10,"2024-04-12 14:01:54.970 +0200",NA
104,"tooth, fourth deciduous premolar",10,"2024-04-12 14:01:54.970 +0200",NA
105,"tooth, fourth incisor",10,"2024-04-12 14:01:54.970 +0200",NA
106,"tooth, fourth molar",10,"2024-04-12 14:01:54.970 +0200",NA
107,"tooth, fourth premolar",10,"2024-04-12 14:01:54.970 +0200",NA
108,"tooth, incisor",10,"2024-04-12 14:01:54.970 +0200",NA
109,"tooth, molar",10,"2024-04-12 14:01:54.970 +0200",NA
110,"tooth, premolar",10,"2024-04-12 14:01:54.970 +0200",NA
111,"tooth, root",10,"2024-04-12 14:01:54.970 +0200",NA
112,"tooth, second deciduous incisor",10,"2024-04-12 14:01:54.970 +0200",NA
113,"tooth, second deciduous premolar",10,"2024-04-12 14:01:54.970 +0200",NA
114,"tooth, second incisor",10,"2024-04-12 14:01:54.970 +0200",NA
115,"tooth, second molar",10,"2024-04-12 14:01:54.970 +0200",NA
116,"tooth, second premolar",10,"2024-04-12 14:01:54.970 +0200",NA
117,"tooth, third deciduous incisor",10,"2024-04-12 14:01:54.970 +0200",NA
118,"tooth, third deciduous premolar",10,"2024-04-12 14:01:54.970 +0200",NA
119,"tooth, third incisor",10,"2024-04-12 14:01:54.970 +0200",NA
120,"tooth, third molar",10,"2024-04-12 14:01:54.970 +0200",NA
121,"tooth, third premolar",10,"2024-04-12 14:01:54.970 +0200",NA
122,"trapezium",10,"2024-04-12 14:01:54.970 +0200",NA
123,"trapezoid",10,"2024-04-12 14:01:54.970 +0200",NA
124,"tusk",10,"2024-04-12 14:01:54.970 +0200",NA
125,"ulna",10,"2024-04-12 14:01:54.970 +0200",NA
126,"unciform",10,"2024-04-12 14:01:54.970 +0200",NA
127,"vertebra",10,"2024-04-12 14:01:54.970 +0200",NA
128,"vertebra, atlas",10,"2024-04-12 14:01:54.970 +0200",NA
129,"vertebra, axis",10,"2024-04-12 14:01:54.970 +0200",NA
130,"vertebra, caudal",10,"2024-04-12 14:01:54.970 +0200",NA
131,"vertebra, cervical",10,"2024-04-12 14:01:54.970 +0200",NA
132,"vertebra, lumbar",10,"2024-04-12 14:01:54.970 +0200",NA
133,"vertebra, sacrum",10,"2024-04-12 14:01:54.970 +0200",NA
134,"vertebra, thoracic",10,"2024-04-12 14:01:54.970 +0200",NA
135,"vomer",10,"2024-04-12 14:01:54.970 +0200",NA
136,"zygomatic",10,"2024-04-12 14:01:54.970 +0200",NA
137,"valve",10,"2024-04-12 14:01:54.970 +0200",NA
138,"shell",10,"2024-04-12 14:01:54.970 +0200",NA
139,"sediment/water",10,"2024-04-12 14:01:54.970 +0200",NA
140,"field air",10,"2024-04-12 14:01:54.970 +0200",NA
141,"field",10,"2024-04-12 14:01:54.970 +0200",NA
142,"lab",10,"2024-04-12 14:01:54.970 +0200",NA
143,"mean January",10,"2024-04-12 14:01:54.970 +0200",NA
144,"mean July",10,"2024-04-12 14:01:54.970 +0200",NA
145,"mean annual",10,"2024-04-12 14:01:54.970 +0200",NA
146,">100 µm",10,"2024-04-12 14:01:54.970 +0200",NA
147,">125 µm",10,"2024-04-12 14:01:54.970 +0200",NA
148,">24 µm",10,"2024-04-12 14:01:54.970 +0200",NA
149,">30 µm",10,"2024-04-12 14:01:54.970 +0200",NA
150,">5 µm",10,"2024-04-12 14:01:54.970 +0200",NA
151,">50 µm",10,"2024-04-12 14:01:54.970 +0200",NA
152,">50 µm^2",10,"2024-04-12 14:01:54.970 +0200",NA
153,"0-25 µm",10,"2024-04-12 14:01:54.970 +0200",NA
154,"1000°C",10,"2024-04-12 14:01:54.970 +0200",NA
155,"100-125 µm",10,"2024-04-12 14:01:54.970 +0200",NA
156,"100-150 µm",10,"2024-04-12 14:01:54.970 +0200",NA
157,"12-20 µm",10,"2024-04-12 14:01:54.970 +0200",NA
158,"14-24 µm",10,"2024-04-12 14:01:54.970 +0200",NA
159,"25-50 µm",10,"2024-04-12 14:01:54.970 +0200",NA
160,"450°C",10,"2024-04-12 14:01:54.970 +0200",NA
161,"500°C",10,"2024-04-12 14:01:54.970 +0200",NA
162,"50-100 µm",10,"2024-04-12 14:01:54.970 +0200",NA
163,"50-75 µm",10,"2024-04-12 14:01:54.970 +0200",NA
164,"5-150 µm",10,"2024-04-12 14:01:54.970 +0200",NA
165,"525°C",10,"2024-04-12 14:01:54.970 +0200",NA
166,"5-50 µm",10,"2024-04-12 14:01:54.970 +0200",NA
167,"550°C",10,"2024-04-12 14:01:54.970 +0200",NA
168,"600°C",10,"2024-04-12 14:01:54.970 +0200",NA
169,"75-100 µm",10,"2024-04-12 14:01:54.970 +0200",NA
170,"800°C",10,"2024-04-12 14:01:54.970 +0200",NA
171,"825°C",10,"2024-04-12 14:01:54.970 +0200",NA
172,"900°C",10,"2024-04-12 14:01:54.970 +0200",NA
