LAB_ORIGID,LAB_PREFIX,LAB_FACLTY,CNTRY,LAB_ACTIVE,LAB_MTD,LAB_URL,LAB_SOURCE,CREATED_AT,UPDATED_AT
217,Sac A,Gif sur Yvette (Saclay),FRA,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
218,SANU,ANU Canberra,AUS,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
219,SPb,Herzen State Univ.,RUS,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
220,SFU,Simon Fraser Univ.,CAN,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
221,Sh,Shell Development Co.,USA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
222,SI,Smithsonian Inst.ion,USA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
223,SL,Sharp Laboratories,USA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
224,SM,"Mobil Oil Corp., Dallas",USA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
225,SMU,Southern Methodist Univ.,USA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
226,SNU,Seoul National Univ.,KOR,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
227,T,Trondheim,NOR,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
228,TB,Tbilisi,GEO,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
229,TBNC,Kaman Instruments,USA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
230,TEM,Temple Univ.,USA,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
231,TF,Tata Inst. of Fundamental Research,IND,FALSE,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
232,TK,Univ. of Tokyo,JPN,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
233,TKA,"Univ. Museum, Univ. of Tokyo",JPN,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
234,TKa,Univ. of Tokyo-AMS,JPN,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
235,TKU,Turku,FIN,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
236,Tin,Tallinn,EST,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
237,TO,IsoTrace Lab.,CAN,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
238,TUBITAK,TUBiTAK National AMS Lab.,TUR,,C14,,Radiocarbon,2021-11-19 22:11:05.011 +1100,
