OAID,AUTH,FORENAME,INITIALS,ORCID,SCOPUSID,WSCC_RESID,AUTH_COMMT,AUTH_URL,URL_DATE
OAID-000366,Pucillo,Kevin,K.,,,,,,
OAID-000367,Quigley,Mark C.,M. C.,,,,,,
OAID-000368,Readhead,Mark L.,M. L.,,,,,,
OAID-000369,Reed,Elizabeth H.,E. H.,,,,,,
OAID-000370,Richards,Thomas W.,T. W.,,,,,,
OAID-000371,Rieser,Uwe,U.,,,,,,
OAID-000372,Ringrose,Susan,S.,,,,,,
OAID-000373,Roberts,Amy,A.,,,,,,
OAID-000374,Roberts,Richard Graham,R. G.,0000-0002-0128-4119,7404281684,,,,
OAID-000375,Rosenfeld,Andreé,A.,,7201932388,,,,
OAID-000376,Rust,Brian R.,B. R.,,,,,,
OAID-000377,Rustomji,Paul,P.,,,,,,
OAID-000378,Sanson,Gordon Drummon,G. D.,,,,,,
OAID-000379,Sheard,Malcom John,M. J.,,,,,,
OAID-000380,Sherwood,John E.,J. E.,,,,,,
OAID-000381,Shin,Jaeryul,J.,,,,,,
OAID-000382,Shine,Denis,D.,,,,,,
OAID-000383,Shulmeister,James,J.,0000-0001-5863-9462,6701753955,J-2859-2015,,,
OAID-000384,Sim,Anna K.,A. K.,,,,,,
OAID-000385,Singh,G.,G.,,,,,,
OAID-000386,Slack,Michael Jon,M.,,,,,,
OAID-000387,Smith,Michael Alexander,M. A.,,,,nla.gov.au/nla.obj-266835852,,
OAID-000388,Stern,Nicola,N.,0000-0002-3948-9371,,,,,
OAID-000389,Stone,Tim,T.,,,,,,
OAID-000390,Sullivan,Marjorie Edith,M. E.,0000-0001-9856-2375,,,ORCID unconfirmed,,
OAID-000391,Sutton,Alice,A.,,,,,,
OAID-000392,Tedford,Richard H.,R. H.,,,,,,
OAID-000393,Telfer,Matt W.,M. W.,0000-0002-8562-7720,,,,,
OAID-000394,Theden-Ringl,Fenja,F.,,,,,,
OAID-000395,Thom,Bruce,B.,,,,,,
OAID-000396,Thomas,Michael F.,M. F.,,,,,,
OAID-000397,Thorne,Alan Gordon,A. G.,,,,,,
OAID-000398,Tindale,Norman B.,N. B.,,,,,,
OAID-000399,Tooth,Stephen,S.,0000-0001-5714-2606,6602709798,B-6105-2013,,,
OAID-000400,Turney,Chris S. M.,C. S. M.,0000-0001-6733-0993,7003984281,P-8701-2018,,,
OAID-000401,Twidale,Charles Rowland,C. R.,,,,,,
OAID-000402,van Huet,Sanja,S.,,,,,,
OAID-000403,Veth,Peter,P.,0000-0002-1717-6390,6507514733,H-6013-2014,,,
OAID-000404,Walker,P. H.,P. H.,,,,,,
OAID-000405,Wallis,Lynley A.,L. A.,0000-0002-9324-8069,7006224763,,,,
OAID-000406,Ward,Ingrid Alexandra Kirsten,I. A. K.,0000-0002-0566-1479,7202056006,K-8513-2013,,,
OAID-000407,Warner,Robin F.,R. F.,,,,,,
OAID-000408,Wasson,Robert J.,R. J.,0000-0003-4318-1182,,,,,
OAID-000409,Webb,Stephen G.,S. G.,,,,,,
OAID-000410,Wells,Roderick Turner,R. T.,,,,,,
OAID-000411,Wende,Rainer,R.,,,,,,
OAID-000412,Wesley,Daryl,D.,0000-0002-3537-5668,36718426700,,,,
OAID-000413,White,Lauren C.,L. C.,0000-0001-8085-9293,,,,,
OAID-000414,White,John Peter,J. P.,0000-0003-1805-1917,14523833600,,ORCID unconfirmed,,
OAID-000415,Wilkins,Daniel,D.,0000-0003-2081-483X,,,,,
OAID-000416,Williams,Nicola,N.,,,,,,
OAID-000417,Williams,Dominic Lionel G.,D. L. G.,,,,,,
OAID-000418,Williams,Rory,R.,0000-0003-4287-8981,56389790500,,,,
OAID-000419,Wood,Rachel,R.,0000-0002-1694-3295,35202563700,K-5577-2016,,,
OAID-000420,Woods,Jack T.,J. T.,,,,,,
OAID-000421,Wray,Robert A. L.,R. A. L.,,,,,,
OAID-000422,Wright,R. V. S.,R. V. S.,,,,,,
OAID-000423,Wyrwoll,Karl-Heinz,K.-H.,,,,,,
OAID-000424,Young,Robert W.,R. W.,,,,,,
OAID-000425,Yu,Lili,L.,,,,,,
OAID-000426,Allen,Frederick James,F. J.,,,,,,
OAID-000427,Allen,Harry,H.,0000-0001-8199-7364,,,ORCID unconfirmed,,
OAID-000428,Asmussen,Brit,B.,0000-0001-8443-1892,25721536200,,,,
OAID-000429,Bird,Caroline F. M.,C. F. M.,,,,,,
OAID-000430,Boot,Philip,P.,,,,,,
OAID-000431,Bourke,Patricia M.,P. M.,,,,,,
OAID-000432,Brockwell,Celia Jane,C. J.,0000-0003-1475-7971,,,is Sally Brockwell (OAID-000433),,
OAID-000433,Brockwell,Sally,S.,0000-0003-1475-7971,,,is Celia Jane Brockwell (OAID-000432),,
OAID-000434,Byrne,Chae,C.,0000-0002-8421-1993,,,,,
OAID-000435,Campbell,Valerie,V.,,,,,,
OAID-000436,Campbell,John B.,J. B.,,,,,,
OAID-000437,Carter,Melissa,M.,,,,,,
OAID-000438,Clarke,Anne Fiona,A. F.,,,,,,
OAID-000439,Clune,Genevieve,G.,,,,,,
OAID-000440,Colley,Sarah M.,S. M.,,,,,,
OAID-000441,Connah,Graham,G.,0000-0002-9436-0431,,,,,
OAID-000442,Coutts,Peter John Frazer,P. J. F.,,,,,,
OAID-000443,Cropper,Dawn,D.,,,,,,
OAID-000444,Davidson,Iain,I.,0000-0003-1840-9704,,,ORCID unconfirmed,,
OAID-000445,Delannoy,Jean-Jacques,J.-J.,0000-0002-2815-4920,7004533397,,,,
OAID-000446,Dias,Adam,A.,,,,,,
OAID-000447,Ditchfield,Kane,K.,0000-0002-9555-4393,56688641000,,,,
OAID-000448,Eales,Tony,T.,,,,,,
OAID-000449,Edwards,Kevin,K.,,,,,,
OAID-000450,Egloff,Brian,B.,,,,,,
OAID-000451,Fanning,Patricia C.,P. C.,0000-0003-3113-1444,,,,,
OAID-000452,Faulkner,Patrick,P.,0000-0002-1501-6967,,,,,
OAID-000453,Frankel,David R.,D.,0000-0001-5447-8745,,,,,
OAID-000454,Godfrey,Michael C. S.,M. C. S.,,,,,,
OAID-000455,Gowlett,John A. J.,J. A. J.,0000-0002-9064-973X,,,,,
OAID-000456,Guse,Daryl Lloyd,D. L.,,,,,,
OAID-000457,Hall,Jay,J.,,55483898100,,,,
OAID-000458,Head,Lesley,L.,0000-0002-5114-7614,7006298113,,,,
OAID-000459,Holdaway,Simon,S.,0000-0002-9948-3182,6603091783,,,,
OAID-000460,Horsfall,Nicky,N.,,,,,,
OAID-000461,Johnston,Harvey,H.,,,,,,
OAID-000462,Johnston,Rochelle,R.,,,,,,
OAID-000463,Jones,Tristen,T.,0000-0002-2962-674X,56292037000,,,,
OAID-000464,Kalish,John M.,J. M.,,,,,,
OAID-000465,Kohen,Jim L.,J. L.,,,,,,
OAID-000466,Law,W. Boone,W. B.,0000-0002-9803-4924,,,,,
OAID-000467,Lentfer,Carol Joy,C. J.,0000-0002-3815-4254,,,,,
OAID-000468,Lister,Mirani,M.,,,,,,
OAID-000469,Low,Marika A.,M. A.,0000-0002-5013-5822,,,,,
OAID-000470,Lowe,Kelsey M.,K. M.,0000-0002-0857-2877,24470895400,H-1826-2014,,,
OAID-000471,Loy,Thomas H.,T. H.,,,,,,
OAID-000472,Luebbers,Roger A.,R. A.,,,,,,
OAID-000473,Macknight,Charles Campbell,C. C.,0000-0001-5825-2348,,,,,
OAID-000474,Mardaga-Campbell,Mireille,M.,,,,,,
OAID-000475,Marsh,Michael,M.,,,,,,
OAID-000476,Marshall,H.,H.,,,,,,
OAID-000477,Marwick,Ben,B.,0000-0001-7879-4531,8572128400,H-1747-2013,,,
OAID-000478,McBryde,Isabel,I.,,,,,,
OAID-000479,Meehan,Betty,B.,,,,,,
OAID-000480,Mein,Erin,E.,,,,,,
OAID-000481,Memmott,Paul,P.,0000-0003-0968-0666,,,,,
OAID-000482,Mills,Robynne A.,R. A.,,,,,,
OAID-000483,Mitchell,Scott,S.,,,,,,
OAID-000484,Monks,Carly,C.,,,,,,
OAID-000485,Moore,Mark W.,M. W.,0000-0003-4768-5329,7404470187,B-4729-2015,,,
OAID-000486,Mowat,Fiona,F.,,,,,,
OAID-000487,Murray-Wallace,Colin V.,C. V.,0000-0002-3029-9141,7004591773,,,,
OAID-000488,Napton,Kyle,K.,,,,,,
OAID-000489,Nelson,D. Erle,D. E.,,,,,,
OAID-000490,Porch,Nick,N.,0000-0001-7179-3843,,,,,
OAID-000491,Przywolnik,Kathryn,K.,,,,,,
OAID-000492,Reid,Jill,J.,0000-0002-3581-064X,,,,,
OAID-000493,Reynen,Wendy,W.,0000-0002-9870-027X,57191169751,,,,
OAID-000494,Roberts,Andrew,A.,,,,,,
OAID-000495,Robins,Richard P.,R. P.,,,,,,
OAID-000496,Roche,Nicola,N.,,,,,,
OAID-000497,Rosendahl,Daniel,D.,0000-0003-0360-3969,17344702600,M-9619-2016,,,
OAID-000498,Schrire,Carmel,C.,,,,,,
OAID-000499,Sim,Robin,R.,,,,,,
OAID-000500,Ulm,Sean,S.,0000-0001-6653-9963,17344329100,A-3854-2010,,,
OAID-000501,Smith,Moya,M.,0000-0001-8034-381X,,,ORCID unconfirmed,,
OAID-000502,Summerhayes,Glenn R.,G. R.,0000-0002-0654-1305,23991856200,,,,
OAID-000503,Szabo,Katherine,K.,0000-0002-9542-6535,22836712200,,,,
OAID-000504,Taçon,Paul S. C.,P. S. C.,0000-0002-0280-4366,55919228000,,,,
OAID-000505,Thorley,Peter B.,P. B.,,,,,,
OAID-000506,Veitch,Bruce,B.,,,,,,
OAID-000507,Walshe,Keryn,K.,0000-0002-8876-9310,,,,,
OAID-000508,Watchman,Alan L.,A. L.,,,,,,
OAID-000509,Webb,R. Esmée,R. E.,,57198613967,,,,
OAID-000510,Williams,Elizabeth,E.,,,,,,
OAID-000511,Williams,Alan,A.,0000-0003-4133-4229,,,,,
OAID-000512,Wilson,Christopher,C.,0000-0002-0218-6895,24074921500,,,,
OAID-000513,Winton,Vicky,V.,,,,,,
OAID-000514,Woodrofe,Colin D.,C. D.,,,,,,
OAID-000515,Wright,Martin,M.,,,,,,
OAID-000516,Zobel,Daniel E.,D. E.,,,,,,
OAID-000517,Abramowski,Uwe,U.,,,,,,
OAID-000518,Ackert,Robert P.,R. P.,,,,,,
OAID-000519,Akçar,Naki,N.,0000-0002-5604-3179,,,,,
OAID-000520,Alexanderson,Helena,H.,0000-0002-5573-1906,,,,,
OAID-000521,Alloway,Brent,B.,0000-0003-1830-5163,,,ORCID unconfirmed,,
OAID-000522,Altmeier,Marcus,M.,,,,,,
OAID-000523,Amidon,William H.,W. H.,0000-0003-2379-132X,,,ORCID unconfirmed,,
OAID-000524,Amos,Colin B.,C. B.,0000-0002-3862-9344,,,,,
OAID-000525,Andersen,Jane Lund,J. L.,0000-0003-2829-6352,,,,,
OAID-000526,Anderson,Jacob T. H.,J. T. H.,,,,,,
OAID-000527,Angel,Isandra,I.,,,,,,
OAID-000528,Anjar,Johanna,J.,0000-0001-9927-1510,,,,,
OAID-000529,Aoki,Tatsuto,T.,0000-0002-9374-3596,,,ORCID unconfirmed,,
OAID-000530,Arzhannikov,Sergei G.,S. G.,0000-0002-4389-3684,,,ORCID unconfirmed,,
OAID-000531,Augustinus,Paul,P.,0000-0002-1391-2151,,,,,
OAID-000532,Badding,Michael E.,M. E.,,,,,,
OAID-000533,Bai,Mingkun,M.,,,,,,
OAID-000534,Balbas,Andrea M.,A. M.,,,,,,
OAID-000535,Ballantyne,Colin K.,C. K.,0000-0002-6044-9198,,,,,
OAID-000536,Stone,John O. H.,J. O. H.,,,,,,
OAID-000537,Stroeven,Arjen P.,A. P.,0000-0001-8812-2253,6604016480,I-7330-2013,,,
OAID-000538,Balter,Alexandra M.,A. M.,,,,,,
OAID-000539,Hredia Bárion,Pablo Alfredo,P. A.,0000-0001-7235-5896,,,ORCID unconfirmed,,
OAID-000540,Barnard,Patrick L.,P. L.,0000-0003-1414-6476,,,,,
OAID-000541,Baroni,Carlo,C.,0000-0001-5905-4650,,,,,
OAID-000542,Barrows,Timothy T.,T. T.,0000-0003-2614-7177,,,,,
OAID-000543,Owen,Lewis Andrew,L. A.,0000-0002-2525-5160,,,,,
OAID-000544,Briner,Jason P.,J. P.,0000-0002-8584-0978,,,,,
OAID-000545,Barth,Aron M.,A. M.,,,,,,
OAID-000546,Batbaatar,Jigjidsurengiin,J.,0000-0001-7806-8361,,,,,
OAID-000547,Becker,Richard A.,R. A.,,,,,,
OAID-000548,Beel,Casey R.,C. R.,0000-0001-6191-9019,,,,,
OAID-000549,Benn,Douglas I.,D. I.,0000-0002-3604-0886,,,,,
OAID-000550,Benson,Larry,L.,,,,,,
OAID-000551,Bentley,Michael J.,M. J.,0000-0002-2048-0019,,,,,
OAID-000552,Berg,Sonja,S.,0000-0002-9629-6007,,,,,
OAID-000553,Bibby,Theodore,T.,0000-0002-8578-9068,,,,,
OAID-000554,Bichler,Mathias G.,M. G.,,,,,,
OAID-000555,Bigot-Cormier,Florence,F.,,,,,,
OAID-000556,Blard,Pierre-Henry,P.-H.,0000-0002-8455-8014,,,,,
OAID-000557,Blomdin,Robin,R.,0000-0003-0306-5291,,,,,
OAID-000558,Boex,J.,J.,,,,,,
OAID-000559,Böhlert,Ralph,R.,,,,,,
OAID-000560,Böhme,Martina,M.,0000-0001-6675-3580,,,,,
OAID-000561,Borchers,Brian,B.,0000-0001-5370-5811,,,,,
OAID-000562,Bourgois,Jacques,J.,0000-0003-3206-4626,,,,,
OAID-000563,Boxleitner,Max,M.,0000-0002-3789-0786,,,,,
OAID-000564,Braakhekke,Jochem,J.,,,,,,
OAID-000565,Bradwell,Tom,T.,0000-0003-0947-3309,,,,,
OAID-000566,Braucher,Régis,R.,0000-0002-4637-4302,,,,,
OAID-000567,Breckenridge,R. M.,R. M.,,,,,,
OAID-000568,Bromley,Gordon R. M.,G. R. M.,0000-0002-5671-7065,,,,,
OAID-000569,Brook,Edward J.,E. J.,,,,,,
OAID-000570,Brook,Martin S.,M. S.,0000-0002-1030-3246,,,ORCID unconfirmed,,
OAID-000571,Chevalier,Marie-Luce,M.-L.,0000-0001-9110-2456,,,,,
OAID-000572,Corbett,Lee B.,L. B.,0000-0001-6224-8034,,,,,
OAID-000573,Dong,GuoCheng,G.,,,,,,
OAID-000574,Engel,Zbynek,Z.,0000-0002-5209-7823,,,,,
OAID-000575,Fabel,Derek,D.,0000-0003-2859-3293,,A-2999-2010,,,
OAID-000576,Fogwill,Christopher Joseph,C. J.,0000-0002-6471-1106,,,,,
OAID-000577,Glasser,Neil F.,N. F.,0000-0002-8245-2670,,,,,
OAID-000578,Goehring,Brent M.,B. M.,0000-0001-6405-5156,,,,,
OAID-000579,Hein,Andrew S.,A. S.,0000-0003-3397-3813,,,,,
OAID-000580,Ivy-Ochs,Susan,S.,0000-0002-3242-9536,,,,,
OAID-000581,Johnsen,Timothy F.,T. F.,,,,,,
OAID-000582,Johnson,Joanne S.,J. S.,0000-0003-4537-4447,,,,,
OAID-000583,Kaplan,Michael R.,M. R.,,,,,,
OAID-000584,Kelley,Samuel E.,S. E.,0000-0001-9214-0577,,,,,
OAID-000585,Kelly,Meredith A.,M. A.,,,,,,
OAID-000586,Kuhlemann,Joachim,J.,,,,,,
OAID-000587,Laabs,Benjamin J. C.,B. J. C.,0000-0001-8825-2672,,,,,
OAID-000588,Larsen,Nicolaj K.,N. K.,0000-0002-0117-1106,,,,,
OAID-000589,Levy,Laura B.,L. B.,,,,,,
OAID-000590,Licciardi,Joseph M.,J. M.,0000-0002-2009-6850,,,ORCID unconfirmed,,
OAID-000591,Mangerud,Jan,J.,0000-0003-4793-7557,,,,,
OAID-000592,Margold,Martin,M.,0000-0001-5834-850X,38761760300,V-4634-2018,,,
OAID-000593,Phillips,William M.,W. M.,,,,,,
OAID-000594,Putnam,Aaron E.,A. E.,0000-0002-5358-1473,,,,,
OAID-000595,Ritterknecht,Vincent,V.,,,,,,
OAID-000596,Sugden,David E.,D. E.,0000-0003-3221-9560,,,,,
OAID-000597,Tschudi,Silvio,S.,,,,,,
OAID-000598,Wilson,Peter,P.,,,,,,
OAID-000599,Young,Nicolás E.,N. E.,0000-0001-7374-5706,,,,,
OAID-000600,Zech,Jana,J.,0000-0001-6952-0686,,,ORCID unconfirmed,,
OAID-000601,Zech,Roland,R.,0000-0002-4267-1350,,,ORCID unconfirmed,,
OAID-000602,Brugger,Keith A.,K. A.,0000-0003-0869-920X,,,,,
OAID-000603,Carcaillet,Julien,J.,,,,,,
OAID-000604,Carlson,Anders E.,A. E.,,,,,,
OAID-000605,Carrasco,Rosa M.,R. M.,0000-0001-8762-6951,,,,,
OAID-000606,Ceperley,Elizabeth G.,E. G.,0000-0001-9273-8376,,,,,
OAID-000607,Chen,Yixin,Y.,,,,,,
OAID-000608,Chenet,Marie,M.,,,,,,
OAID-000609,Chiverrell,Richard C.,R. C.,0000-0002-7307-2756,,,,,
OAID-000610,Clark,Douglas H.,D. H.,,,,,,
OAID-000611,Clark,Peter U.,P. U.,,,,,,
OAID-000612,Clark,Jorie,J.,,,,,,
OAID-000613,Cogez,Antoine,A.,,,,,,
OAID-000614,Colgan,Patrick M.,P. M.,,,,,,
OAID-000615,Cossart,Ėtienne,E.,,,,,,
OAID-000616,Crest,Yannick,Y.,,,,,,
OAID-000617,Cronauer,Sandra L.,S. L.,,,,,,
OAID-000618,Crump,Sarah E.,S. E.,0000-0002-6606-7350,,,,,
OAID-000619,Cunningham,Maxwell T.,M. T.,0000-0002-4617-3121,,,,,
OAID-000620,Cuzzone,Joshua K.,J. K.,0000-0002-1282-0597,,,,,
OAID-000621,D'Arcy,Mitch,M.,0000-0003-1808-9544,,,,,
OAID-000622,Dahms,Dennis,D.,0000-0003-2882-4899,,,,,
OAID-000623,Darmody,Robert G.,R. G.,0000-0001-8011-9762,,,ORCID unconfirmed,,
OAID-000624,Darnault,Romain,R.,0000-0003-1873-7302,,,,,
OAID-000625,Darvill,Christopher M.,C. M.,0000-0001-8175-2658,,,,,
OAID-000626,Davies,Bethan J.,B. J.,0000-0002-8636-1813,,,,,
OAID-000627,Davis,P. Thompson,P. T.,0000-0001-6652-1122,,,ORCID unconfirmed,,
OAID-000628,Delmas,Magali,M.,0000-0002-6819-5532,,,,,
OAID-000629,Di Nicola,Luigia,L.,,,,,,
OAID-000630,Dieleman,Catharina,C.,,,,,,
OAID-000631,Dielforder,Armin,A.,0000-0001-9746-3869,,,,,
OAID-000632,Domínguez-Villar,David,D.,0000-0002-4730-6053,,,,,
OAID-000633,Doughty,Alice M.,A. M.,,,,,,
OAID-000634,Douglass,Daniel C.,D. C.,,,,,,
OAID-000635,Dowling,Lisa,L.,,,,,,
OAID-000636,Dubé-Loubert,Hugo,H.,0000-0002-3557-4720,,,ORCID unconfirmed,,
OAID-000637,Dühnforth,Miriam,M.,,,,,,
OAID-000638,Dyke,Laurence M.,L. M.,0000-0003-4306-6125,,,,,
OAID-000639,Eugster,Patricia,P.,0000-0003-4060-8398,,,,,
OAID-000640,Everest,Jeremy D.,J. D.,0000-0002-3455-7494,,,,,
OAID-000641,Farber,Daniel L.,D. L.,,,,,,
OAID-000642,Farnsworth,Lauren B.,L. B.,,,,,,
OAID-000643,Favilli,Filippo,F.,,,,,,
OAID-000644,Federici,Paolo Roberto,P. R.,,,,,,
OAID-000645,Fernández-Fernández,José M.,J. M.,,,,,,
OAID-000646,Fink,David,D.,,,,,,
OAID-000647,Finkel,Robert C.,R. C.,,,,,,
OAID-000648,Finlayson,Andrew,A.,0000-0002-6447-3187,,,,,
OAID-000649,Fjellanger,Jakob,J.,,,,,,
OAID-000650,Fleming,Kaitlyn C.,K. C.,,,,,,
OAID-000651,Fu,Ping,P.,,,,,,
OAID-000652,Fülöp,Réka-H.,R.-H.,0000-0002-3237-0319,,,,,
OAID-000653,Ganyushkin,Dmitry,D.,0000-0001-6109-8652,,,,,
OAID-000654,García,Juan-Luis,J.-L.,,,,,,
OAID-000655,Gayer,Eric,E.,,,,,,
OAID-000656,Gheorghiu,Delia M.,D. M.,0000-0001-9812-4762,,,,,
OAID-000657,Gianotti,Franco,F.,0000-0003-4783-8524,,,,,
OAID-000658,Gilbert,Adrien,A.,0000-0001-9009-5143,,,,,
OAID-000659,Gillespie,Alan R.,A. R.,,,,,,
OAID-000660,Gjermundsen,Endre F.,E. F.,,,,,,
OAID-000661,Godbout,Pierre-Marc,P.-M.,,,,,,
OAID-000662,Golledge,Nicholas R.,N. R.,0000-0001-7676-8970,,,,,
OAID-000663,Goodfellow,Bradley W.,B. W.,0000-0002-2068-7490,,,,,
OAID-000664,Gosse,John C.,J. C.,,,,,,
OAID-000665,Graf,Angela A.,A. A.,,,,,,
OAID-000666,Grant,Oliver Rodney,O. R.,,,,,,
OAID-000667,Gribenski,Natacha,N.,,,,,,
OAID-000668,Gualtieri,Lyn,L.,,,,,,
OAID-000669,Guido,Zackry S.,Z. S.,,,,,,
OAID-000670,Gump,Dale J.,D. J.,,,,,,
OAID-000671,Håkansson,Lena,L.,,,,,,
OAID-000672,Hall,Sarah R.,S. R.,,,,,,
OAID-000673,Hall,Adrian M.,A. M.,,,,,,
OAID-000674,Hall,Brenda L.,B. L.,,,,,,
OAID-000675,Harbor,Jonathan M.,J. M.,0000-0001-5129-0229,,,,,
OAID-000676,Harrison,Stephan,S.,0000-0003-2820-7313,,,,,
OAID-000677,Hättestrand,Clas,C.,,,,,,
OAID-000678,Hebenstreit,Robert,R.,,,,,,
OAID-000679,Hedrick,Kathryn A.,K. A.,,,,,,
OAID-000680,Nishiizumi,Kunihiko,K.,,,,,,
OAID-000681,Heine,Klaus,K.,,,,,,
OAID-000682,Henriksen,Mona,M.,0000-0001-5004-2012,,,,,
OAID-000683,Hodgdon,Taylor,T.,,,,,,
OAID-000684,Hodgson,Dominic A.,D. A.,0000-0002-3841-3746,,,,,
OAID-000685,Hofmann,Felix Martin,F. M.,0000-0002-9882-2613,,,,,
OAID-000686,Horiuchi,Kazuho,K.,0000-0003-3185-8766,,,,,
OAID-000687,Hormes,Anne,A.,0000-0002-7722-8252,,,,,
OAID-000688,Houmark-Nielsen,Michael,M.,0000-0001-6913-4283,,,,,
OAID-000689,Howle,James F.,J. F.,,,,,,
OAID-000690,Hu,Gang,G.,,,,,,
OAID-000691,Huang,Feixin,F.,,,,,,
OAID-000692,Hubert-Ferrari,Aurélia,A.,0000-0001-6381-1415,,,,,
OAID-000693,Hughes,Anna L. C.,A. L. C.,,,,,,
OAID-000694,Hughes,Philip D.,P. D.,0000-0002-8284-0219,57198347667,,,,
OAID-000695,Jeong,Ara,A.,0000-0002-0177-1187,36630647400,,,,
OAID-000696,Jomelli,Vincent,V.,,,,,,
OAID-000697,Jones,Richard Selwyn,R. S.,0000-0003-2988-0999,,,,,
OAID-000698,Joy,Kurt,K.,0000-0002-0803-2926,,,,,
OAID-000699,Karhu,Juha A.,J. A.,0000-0001-5631-5253,,,,,
OAID-000700,Kerschner,Hanns,H.,,,,,,
OAID-000701,Khandsuren,Purevmaa,P.,,,,,,
OAID-000702,Kirkbride,Martin,M.,0000-0002-7108-4382,,,,,
OAID-000703,Koester,Alexandria J.,A. J.,0000-0001-7666-8646,,,ORCID unconfirmed,,
OAID-000704,Koffmann,Tobias N. B.,T. N. B.,,,,,,
OAID-000705,Kohut,Daryl Lee,D. L.,,,,,,
OAID-000706,Kong,Ping,P.,,,,,,
OAID-000707,Koppes,Michéle,M.,0000-0003-0580-2718,,,,,
OAID-000708,Kronig,Olivia,O.,,,,,,
OAID-000709,Landvik,Jon Y.,J. Y.,,,,,,
OAID-000710,Lane,Timothy P.,T. P.,,,,,,
OAID-000711,Larsen,P. L.,P. L.,,,,,,
OAID-000712,Lasserre,Cecile,C.,0000-0002-0582-0775,,,,,
OAID-000713,Le Roux,Olivier,O.,,,,,,
OAID-000714,Le Roy,Melaine,M.,0000-0002-1886-6051,,,,,
OAID-000715,Lee,Su Young,S. Y.,,,,,,
OAID-000716,Lehmann,Benjamin,B.,,,,,,
OAID-000717,Leonard,Eric M.,E. M.,,,,,,
OAID-000718,Lesnek,Alia J.,A. J.,0000-0001-6094-7472,,,ORCID unconfirmed,,
OAID-000719,Leydet,David J.,D. J.,,,,,,
OAID-000720,Li,Yanan,Y.,,,,,,
OAID-000721,Lifton,Nathaniel,N.,0000-0002-6976-3298,,,,,
OAID-000722,Lilly,Kat,K.,0000-0002-2225-4648,,,,,
OAID-000723,Lindow,Julia,J.,,,,,,
OAID-000724,Linge,Henriette,H.,0000-0002-6069-5348,,,,,
OAID-000725,Liu,Xiaohan,X.,,,,,,
OAID-000726,Liu,Jinhua,J.,,,,,,
OAID-000727,Liu,Beibei,B.,,,,,,
OAID-000728,Livingstone,Stephen J.,S. J.,0000-0002-7240-5037,,,,,
OAID-000729,Lowell,Thomas V.,T. V.,0000-0001-7826-0636,,,,,
OAID-000730,Lukas,Sven,S.,,,,,,
OAID-000731,Luna,Lisa V.,L. V.,0000-0002-9889-4262,,,,,
OAID-000732,Mackintosh,Andrew,A.,0000-0002-6430-4711,,,,,
OAID-000733,Makos,Michal,M.,,,,,,
OAID-000734,Marcott,Shaun A.,S. A.,,,,,,
OAID-000735,Margreth,Annina,A.,0000-0002-6055-7316,,,,,
OAID-000736,Marquette,Geneviéve C.,G. C.,,,,,,
OAID-000737,Marr,Philipp,P.,0000-0002-8037-1017,,,,,
OAID-000738,Marsella,Kimberly A.,K. A.,,,,,,
OAID-000739,Martin,Léo C. P.,L. C. P.,,,,,,
OAID-000740,Martini,Mateo A.,M. A.,0000-0003-1704-9313,,,,,
OAID-000741,Mathers,Hannah,H.,0000-0002-8577-1896,,,,,
OAID-000742,Matsuoka,Norikazu,M.,0000-0003-2832-179X,,,,,
OAID-000743,Matthews,John A.,J. A.,,,,,,
OAID-000744,McCarroll,Danny,D.,0000-0002-5992-5070,,,,,
OAID-000745,McCarthy,Andrew,A.,,,,,,
OAID-000746,McCormack,Deborah C.,D. C.,,,,,,
OAID-000747,McCuaig,Shirley J.,S. J.,,,,,,
OAID-000748,McCulloch,Robert D.,R. D.,0000-0001-5542-3703,,,,,
OAID-000749,McQuinn,Melaine Lynn,M. L.,,,,,,
OAID-000750,Mendelova,Monika,M.,,,,,,
OAID-000751,Menounos,Brian,B.,0000-0002-3370-4392,,,,,
OAID-000752,Mentlík,Pavel,P.,0000-0002-6068-8615,,,,,
OAID-000753,Mercier,Jean-Luc,J.-L.,,,,,,
OAID-000754,Mériaux,Anne-Sophie,A.-S.,0000-0002-5112-0948,,,,,
OAID-000755,Meyer,Michael C.,M. C.,,,,,,
OAID-000756,Middleton,Jennifer L.,J. L.,,,,,,
OAID-000757,Möller,Per,P.,,,,,,
OAID-000758,Moran,Andrew P.,A. P.,,,,,,
OAID-000759,Moreiras,Stella M.,S. M.,0000-0001-6462-6684,,,,,
OAID-000760,Moreno,Patricio I.,P. I.,0000-0002-1333-6238,,,,,
OAID-000761,Morgan,Daniel J.,D. J.,,,,,,
OAID-000762,Mukhopadhyay,Sujoy,S.,,,,,,
OAID-000763,Munroe,Jeffrey S.,J. S.,,,,,,
OAID-000764,Murari,Madhav K.,M. K.,0000-0001-5217-2275,,,,,
OAID-000765,Murray,Daniel S.,D. S.,,,,,,
OAID-000766,Nelson,Alice H.,A. H.,,,,,,
OAID-000767,Nesje,Atle,A.,0000-0001-8508-5805,,,,,
OAID-000768,Nimick,David A.,D. A.,0000-0002-8532-9192,,,,,
OAID-000769,Nývlt,Daniel,D.,0000-0002-6876-490X,,,,,
OAID-000770,O'Hara,Sandra L.,S. L.,,,,,,
OAID-000771,Oberholzer,Peter,P.,,,,,,
OAID-000772,Orr,Elizabeth N.,E. N.,0000-0001-6773-0321,,,,,
