JOURNALID,JOURNAL,JOURNALABB,PRINT_ISSN,ONLIN_ISSN
198,Journal of the Polynesian Society,J_Polynesian_Soc,0032-4000,2230-5955
199,Journal of the Royal Society of New Zealand,J_Roy_Soc_New_Zeal,0303-6758,1175-8899
200,Mountain Research and Development,Mt_Res_Dev,0276-4741,1994-7151
201,New Zealand Journal of Archaeology,New_Zeal_J_Archaeol,0110-540X,
202,Oral History,Oral_Hist,0310-2556,
203,PALEO. Revue d'archéologie préhistorique,Paleo_Rev,,2101-0420
204,People and Culture in Oceania,People_Culture_Oceania,1349-5380,2433-2194
205,Research in Melanesia,Res_Melanesia,0254-0665,
206,Technical Reports of the Australian Museum,Tech_Rep_Aust_Museum,1031-8062,
207,Technical Reports of the Australian Museum (Online),Tech_Rep_Aust_Museum_Online,,1835-4211
208,The Review of Archaeology,Rev_Archaeol,1050-4877,
209,Vegetation History and Archaeobotany,Veg_Hist_Archaeobot,0939-6314,1617-6278
210,Erdwissenschaftliche Forschung,Erdwissenschaft_Forsch,0170-3188,
211,Singapore Journal of Tropical Geography,Singapore_J_Trop_Geo,0129-7619,1467-9493
212,Records of the Papua New Guinea Public Museum and Art Gallery,Rec_PNG_Museum_Art,0314-3813,
213,National Geographic Research,Natl_Geogr_Res,8755-724X,
214,Man and Culture in Oceania,Man_Culture_Oceania,0911-3533,
215,Advances in World Archaeology,Adv_World_Archaeol,0733-5121,
216,"Agriculture, Ecosystems & Environment",Agr_Ecosyst_Environ,0167-8809,1873-2305
217,Anthropologie,Anthropologie,,
218,Archaeologies,Archaeologies,1555-8622,1935-3987
219,Australian Institute of Aboriginal Studies Newsletter,AIAS_News,0004-9344,
220,Fremantle Studies,Freemantle_Stud,,1443-0800
221,Geodinamica Acta,Geodin_Acta,0985-3111,1778-3593
222,Journal of Community Archaeology and Heritage,J_Comm_Archaeol_Heritage,2051-8196,2051-820X
223,Journal of the Anthropological Society of South Australia,J_Anthropol_Soc_S_Aust,1034-4438,
224,Nature Human Behaviour,Nat_Hum_Behavior,,2397-3374
225,Queensland Government Mining Journal,Queensland_Gov_Mining_J,0033-6149,
226,Reef Research,Reef_Res,1037-0692,
227,Rock Art Research,Rock_Art_Res,0813-0426,
228,Geographical Magazine,Geogr_Magazine,1478-6168,
229,Occasional Papers in Anthropology,Occas_Pap_Anthropol,,0310-4710
230,Journal of Social Archaeology,J_Social_Archaeol,1469-6053,1741-2951
231,Nature Ecology and Evolution,Nat_Ecol_Evol,,2397-334X
232,AGU Advances,AGU_Adv,,2576-604X
233,Mediterranean Geoscience Reviews,Med_Geosc_Rev,,2661-8648
234,Geosciences,Geosciences,,2076-3263
235,Terra Australis,Terra_Australis,0725-9018,
236,International Journal of Osteoarchaeology,Int_J_Osteoarchaeol,1047-482X,1099-1212
